地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/7/11,09:09.2,トカラ列島近海,29°16.2′N,129°27.5′E,11 km,5,震度４
2025/7/11,30:16.4,トカラ列島近海,29°16.5′N,129°27.2′E,13 km,4.9,震度４
2025/7/12,01:23.6,トカラ列島近海,29°18.9′N,129°30.1′E,13 km,4.9,震度４
2025/7/13,32:52.9,トカラ列島近海,29°18.3′N,129°30.9′E,13 km,4.4,震度４
2025/7/13,54:21.0,トカラ列島近海,29°17.4′N,129°32.3′E,11 km,4.4,震度４
2025/7/13,19:34.6,トカラ列島近海,29°19.3′N,129°28.2′E,9 km,4.9,震度４
2025/7/13,28:57.9,トカラ列島近海,29°17.6′N,129°30.8′E,10 km,4.7,震度４
2025/7/14,32:16.7,トカラ列島近海,29°18.4′N,129°30.1′E,13 km,4.3,震度４
2025/7/15,20:01.5,トカラ列島近海,29°19.3′N,129°28.8′E,12 km,5.4,震度４
2025/7/15,47:10.3,茨城県北部,36°27.6′N,140°36.7′E,56 km,4.9,震度４
2025/7/16,15:26.7,トカラ列島近海,29°18.5′N,129°26.5′E,12 km,4.7,震度４
2025/7/16,05:31.1,トカラ列島近海,29°18.4′N,129°31.0′E,10 km,4.4,震度４
2025/7/16,14:05.6,トカラ列島近海,29°19.4′N,129°29.7′E,12 km,4.2,震度４
2025/7/25,17:02.7,長崎県南西部,32°48.0′N,130°07.7′E,9 km,4.8,震度４
2025/7/28,10:28.5,十勝地方南部,42°19.8′N,143°07.4′E,51 km,5.2,震度４
2025/8/14,13:37.8,茨城県沖,36°27.3′N,141°05.1′E,47 km,5.2,震度４
2025/8/17,13:14.6,日向灘,32°02.2′N,131°56.1′E,29 km,5.7,震度４
2025/8/30,29:20.3,宮城県沖,38°26.6′N,142°12.0′E,41 km,5.8,震度４
2025/9/1,30:04.6,トカラ列島近海,29°20.3′N,129°30.3′E,10 km,4,震度４
2025/9/5,00:07.5,茨城県南部,36°04.0′N,139°53.7′E,46 km,4.4,震度４
2025/9/13,22:20.8,トカラ列島近海,29°55.0′N,129°59.2′E,10 km,4.5,震度４
2025/9/17,55:02.3,トカラ列島近海,29°35.1′N,129°43.1′E,1 km,4.7,震度５弱
2025/9/17,00:28.0,トカラ列島近海,29°38.1′N,129°38.0′E,0 km,4.8,震度４
2025/9/19,11:37.8,トカラ列島近海,29°38.6′N,129°42.7′E,3 km,3.5,震度４
2025/9/19,10:44.2,トカラ列島近海,29°37.2′N,129°45.6′E,0 km,3.9,震度４
2025/10/5,21:08.5,福島県沖,37°25.1′N,141°35.1′E,45 km,6,震度４
2025/10/7,30:23.9,福島県沖,37°31.8′N,141°22.4′E,52 km,5,震度４
2025/10/22,17:31.9,釧路沖,42°55.4′N,145°28.4′E,43 km,5.1,震度４
2025/10/25,40:09.7,根室半島南東沖,42°55.9′N,145°37.0′E,40 km,5.8,震度５弱
2025/10/26,04:54.7,栃木県北部,36°37.4′N,139°27.1′E,5 km,4.7,震度４
2025/11/3,18:42.3,鹿児島県薩摩地方,31°49.5′N,130°43.5′E,0 km,3.3,震度４
2025/11/9,03:39.2,三陸沖,39°24.1′N,143°30.4′E,16 km,6.9,震度４
2025/11/25,01:16.5,熊本県阿蘇地方,32°59.8′N,131°06.4′E,9 km,5.8,震度５強
2025/11/25,59:09.5,熊本県阿蘇地方,32°59.1′N,131°06.6′E,9 km,4.3,震度４
2025/12/2,03:04.3,釧路沖,42°56.3′N,145°27.5′E,45 km,5.2,震度４
2025/12/8,15:10.1,青森県東方沖,40°58.0′N,142°17.2′E,54 km,7.5,震度６強
2025/12/9,52:42.7,青森県東方沖,40°56.6′N,143°18.0′E,15 km,6.6,震度４
2025/12/10,52:24.1,青森県東方沖,40°50.1′N,142°45.3′E,36 km,6,震度４
2025/12/12,44:13.4,青森県東方沖,40°54.0′N,142°57.9′E,17 km,6.9,震度４
2025/12/12,05:19.6,茨城県南部,36°11.6′N,140°03.5′E,52 km,4.9,震度４
2025/12/14,26:50.7,石川県西方沖,37°03.2′N,136°37.5′E,8 km,4.9,震度４
2025/12/21,29:01.7,青森県東方沖,40°43.4′N,142°15.2′E,51 km,5.6,震度４
2025/12/30,12:25.1,奄美大島近海,27°40.3′N,128°42.6′E,19 km,5.7,震度４
2025/12/31,26:58.4,岩手県沖,40°04.0′N,142°53.1′E,32 km,6.1,震度４
2026/1/6,18:48.4,島根県東部,35°18.9′N,133°12.8′E,11 km,6.4,震度５強
2026/1/6,28:48.6,島根県東部,35°19.0′N,133°14.0′E,12 km,5.1,震度５弱
2026/1/6,37:46.8,島根県東部,35°18.7′N,133°10.5′E,14 km,5.5,震度４
2026/1/9,56:53.3,秋田県内陸北部,40°15.6′N,140°50.5′E,7 km,4.3,震度４
2026/1/9,07:58.3,千葉県東方沖,35°26.1′N,140°26.6′E,30 km,4.6,震度４
2026/1/9,24:11.7,秋田県内陸北部,40°15.7′N,140°50.6′E,8 km,4.2,震度４
2026/1/11,15:35.2,岩手県沿岸北部,39°33.3′N,141°53.7′E,63 km,5.1,震度４
2026/1/13,09:48.3,石川県能登地方,37°28.9′N,137°16.6′E,12 km,4.3,震度４
2026/1/15,40:14.1,岐阜県飛騨地方,36°21.8′N,137°36.8′E,0 km,4.8,震度４
2026/1/24,19:57.6,茨城県北部,36°38.0′N,140°37.3′E,7 km,4.5,震度４
2026/1/29,25:15.0,千葉県南部,35°04.4′N,140°04.8′E,24 km,4.5,震度４
